chave,NOME,UF,GEOCOD_IBGE,COD_TSE,AJUSTE
pb rio tinto,RIO TINTO,PB,2512903,21598,
pb salgadinho,SALGADINHO,PB,2513000,21610,
pb salgado de sao felix,SALGADO DE SÃO FÉLIX,PB,2513109,21636,
pb santa cecilia,SANTA CECÍLIA,PB,2513158,20001,
pb santa cruz,SANTA CRUZ,PB,2513208,21652,
pb santa helena,SANTA HELENA,PB,2513307,21679,
pb santa ines,SANTA INÊS,PB,2513356,19569,
pb santa luzia,SANTA LUZIA,PB,2513406,21695,
pb santa rita,SANTA RITA,PB,2513703,21750,
pb santa teresinha,SANTA TERESINHA,PB,2513802,21776,
pb santana de mangueira,SANTANA DE MANGUEIRA,PB,2513505,21717,
pb santana dos garrotes,SANTANA DOS GARROTES,PB,2513604,21733,
pb santarem,SANTARÉM,PB,2513653,19666,S
pb santo andre,SANTO ANDRÉ,PB,2513851,19267,
pb sao bentinho,SÃO BENTINHO,PB,2513927,19402,
pb sao bento,SÃO BENTO,PB,2513901,21792,
pb sao domingos de pombal,SÃO DOMINGOS DE POMBAL,PB,2513968,19429,S
pb sao domingos do cariri,SÃO DOMINGOS DO CARIRI,PB,2513943,19224,
pb sao francisco,SÃO FRANCISCO,PB,2513984,19860,
pb sao joao do cariri,SÃO JOÃO DO CARIRI,PB,2514008,21814,
pb sao joao do rio do peixe,SÃO JOÃO DO RIO DO PEIXE,PB,2500700,19135,
pb sao joao do tigre,SÃO JOÃO DO TIGRE,PB,2514107,21830,
pb sao jose da lagoa tapada,SÃO JOSÉ DA LAGOA TAPADA,PB,2514206,21857,
pb sao jose de caiana,SÃO JOSÉ DE CAIANA,PB,2514305,21873,
pb sao jose de espinharas,SÃO JOSÉ DE ESPINHARAS,PB,2514404,21890,
pb sao jose de piranhas,SÃO JOSÉ DE PIRANHAS,PB,2514503,21911,
pb sao jose de princesa,SÃO JOSÉ DE PRINCESA,PB,2514552,19445,
pb sao jose do bonfim,SÃO JOSÉ DO BONFIM,PB,2514602,21938,
pb sao jose do brejo do cruz,SÃO JOSÉ DO BREJO DO CRUZ,PB,2514651,19542,
pb sao jose do sabugi,SÃO JOSÉ DO SABUGI,PB,2514701,21954,
pb sao jose dos cordeiros,SÃO JOSÉ DOS CORDEIROS,PB,2514800,21970,
pb sao jose dos ramos,SÃO JOSÉ DOS RAMOS,PB,2514453,19046,
pb sao mamede,SÃO MAMEDE,PB,2514909,21997,
pb sao miguel de taipu,SÃO MIGUEL DE TAIPU,PB,2515005,22012,
pb sao sebastiao de lagoa de roca,SÃO SEBASTIÃO DE LAGOA DE ROÇA,PB,2515104,22039,
pb sao sebastiao do umbuzeiro,SÃO SEBASTIÃO DO UMBUZEIRO,PB,2515203,22055,
pb sao vicente do serido,SÃO VICENTE DO SERIDÓ,PB,2515401,22098,
pb sape,SAPÉ,PB,2515302,22071,
pb serra branca,SERRA BRANCA,PB,2515500,22110,
pb serra da raiz,SERRA DA RAIZ,PB,2515609,22136,
pb serra grande,SERRA GRANDE,PB,2515708,22152,
pb serra redonda,SERRA REDONDA,PB,2515807,22179,
pb serraria,SERRARIA,PB,2515906,22195,
pb sertaozinho,SERTÃOZINHO,PB,2515930,19186,
pb sobrado,SOBRADO,PB,2515971,19020,
pb solanea,SOLÂNEA,PB,2516003,22217,
pb soledade,SOLEDADE,PB,2516102,22233,
pb sossego,SOSSÊGO,PB,2516151,19283,
pb sousa,SOUSA,PB,2516201,22250,
pb sume,SUMÉ,PB,2516300,22276,
pb tacima,TACIMA,PB,2516409,22292,
pb taperoa,TAPEROÁ,PB,2516508,22314,
pb tavares,TAVARES,PB,2516607,22330,
pb teixeira,TEIXEIRA,PB,2516706,22357,
pb tenorio,TENÓRIO,PB,2516755,19682,
pb triunfo,TRIUNFO,PB,2516805,22373,
pb uirauna,UIRAÚNA,PB,2516904,22390,
pb umbuzeiro,UMBUZEIRO,PB,2517001,22411,
pb varzea,VÁRZEA,PB,2517100,22438,
pb vieiropolis,VIEIRÓPOLIS,PB,2517209,19887,
pb vista serrana,VISTA SERRANA,PB,2505501,20117,
pb zabele,ZABELÊ,PB,2517407,19348,
pe abreu e lima,ABREU E LIMA,PE,2600054,26310,
pe afogados da ingazeira,AFOGADOS DA INGAZEIRA,PE,2600104,23019,
pe afranio,AFRÂNIO,PE,2600203,23035,
pe agrestina,AGRESTINA,PE,2600302,23051,
pe agua preta,ÁGUA PRETA,PE,2600401,23078,
pe aguas belas,ÁGUAS BELAS,PE,2600500,23094,
pe alagoinha,ALAGOINHA,PE,2600609,23116,
pe alianca,ALIANÇA,PE,2600708,23132,
pe altinho,ALTINHO,PE,2600807,23159,
pe amaraji,AMARAJI,PE,2600906,23175,
pe angelim,ANGELIM,PE,2601003,23191,
pe aracoiaba,ARAÇOIABA,PE,2601052,23205,
pe araripina,ARARIPINA,PE,2601102,23213,
pe arcoverde,ARCOVERDE,PE,2601201,23230,
pe barra de guabiraba,BARRA DE GUABIRABA,PE,2601300,23256,
pe barreiros,BARREIROS,PE,2601409,23272,
pe belem de maria,BELÉM DE MARIA,PE,2601508,23299,
pe belem de sao francisco,BELÉM DE SÃO FRANCISCO,PE,2601607,23310,S
pe belo jardim,BELO JARDIM,PE,2601706,23337,
pe betania,BETÂNIA,PE,2601805,23353,
pe bezerros,BEZERROS,PE,2601904,23370,
pe bodoco,BODOCÓ,PE,2602001,23396,
pe bom conselho,BOM CONSELHO,PE,2602100,23418,
pe bom jardim,BOM JARDIM,PE,2602209,23434,
pe bonito,BONITO,PE,2602308,23450,
pe brejao,BREJÃO,PE,2602407,23477,
pe brejinho,BREJINHO,PE,2602506,23493,
pe brejo da madre de deus,BREJO DA MADRE DE DEUS,PE,2602605,23515,
pe buenos aires,BUENOS AIRES,PE,2602704,23531,
pe buique,BUÍQUE,PE,2602803,23558,
pe cabo de santo agostinho,CABO DE SANTO AGOSTINHO,PE,2602902,23574,
pe cabrobo,CABROBÓ,PE,2603009,23590,
pe cachoeirinha,CACHOEIRINHA,PE,2603108,23612,
pe caetes,CAETÉS,PE,2603207,23639,
pe calcado,CALÇADO,PE,2603306,23655,
pe calumbi,CALUMBI,PE,2603405,23671,
pe camaragibe,CAMARAGIBE,PE,2603454,26298,
pe camocim de sao felix,CAMOCIM DE SÃO FÉLIX,PE,2603504,23698,
pe camutanga,CAMUTANGA,PE,2603603,23710,
pe canhotinho,CANHOTINHO,PE,2603702,23736,
pe capoeiras,CAPOEIRAS,PE,2603801,23752,
pe carnaiba,CARNAÍBA,PE,2603900,23779,
pe carnaubeira da penha,CARNAUBEIRA DA PENHA,PE,2603926,23167,
pe carpina,CARPINA,PE,2604007,23795,
pe caruaru,CARUARU,PE,2604106,23817,
pe casinhas,CASINHAS,PE,2604155,23221,
pe catende,CATENDE,PE,2604205,23833,
pe cedro,CEDRO,PE,2604304,23850,
pe cha de alegria,CHÃ DE ALEGRIA,PE,2604403,23876,
pe cha grande,CHÃ GRANDE,PE,2604502,23892,
pe condado,CONDADO,PE,2604601,23914,
pe correntes,CORRENTES,PE,2604700,23930,
pe cortes,CORTÊS,PE,2604809,23957,
pe cumaru,CUMARU,PE,2604908,23973,
pe cupira,CUPIRA,PE,2605004,23990,
pe custodia,CUSTÓDIA,PE,2605103,24015,
pe dormentes,DORMENTES,PE,2605152,23140,
pe escada,ESCADA,PE,2605202,24031,
pe exu,EXU,PE,2605301,24058,
pe feira nova,FEIRA NOVA,PE,2605400,24074,
pe fernando de noronha,FERNANDO DE NORONHA,PE,2605459,30015,
pe ferreiros,FERREIROS,PE,2605509,24090,
pe flores,FLORES,PE,2605608,24112,
pe floresta,FLORESTA,PE,2605707,24139,
pe frei miguelinho,FREI MIGUELINHO,PE,2605806,24155,
pe gameleira,GAMELEIRA,PE,2605905,24171,
pe garanhuns,GARANHUNS,PE,2606002,24198,
pe gloria do goita,GLÓRIA DO GOITÁ,PE,2606101,24210,
pe goiana,GOIANA,PE,2606200,24236,
pe granito,GRANITO,PE,2606309,24252,
pe gravata,GRAVATÁ,PE,2606408,24279,
pe iati,IATI,PE,2606507,24295,
pe ibimirim,IBIMIRIM,PE,2606606,24317,
pe ibirajuba,IBIRAJUBA,PE,2606705,24333,
pe igarassu,IGARASSU,PE,2606804,24350,
pe iguaraci,IGUARACI,PE,2606903,24376,S
pe ilha de itamaraca,ILHA DE ITAMARACÁ,PE,2607604,24511,
pe inaja,INAJÁ,PE,2607000,24392,
pe ingazeira,INGAZEIRA,PE,2607109,24414,
pe ipojuca,IPOJUCA,PE,2607208,24430,
pe ipubi,IPUBI,PE,2607307,24457,
pe itacuruba,ITACURUBA,PE,2607406,24473,
pe itaiba,ITAÍBA,PE,2607505,24490,
pe itambe,ITAMBÉ,PE,2607653,25976,
pe itapetim,ITAPETIM,PE,2607703,24538,
pe itapissuma,ITAPISSUMA,PE,2607752,26336,
pe itaquitinga,ITAQUITINGA,PE,2607802,24554,
pe jaboatao dos guararapes,JABOATÃO DOS GUARARAPES,PE,2607901,24570,
pe jaqueira,JAQUEIRA,PE,2607950,23302,
pe jatauba,JATAÚBA,PE,2608008,24597,
pe jatoba,JATOBÁ,PE,2608057,23264,
pe joao alfredo,JOÃO ALFREDO,PE,2608107,24619,
pe joaquim nabuco,JOAQUIM NABUCO,PE,2608206,24635,
pe jucati,JUCATI,PE,2608255,23124,
pe jupi,JUPI,PE,2608305,24651,
pe jurema,JUREMA,PE,2608404,24678,
pe lagoa de itaenga,LAGOA DE ITAENGA,PE,2608503,24694,
pe lagoa do carro,LAGOA DO CARRO,PE,2608453,23027,
pe lagoa do ouro,LAGOA DO OURO,PE,2608602,24716,
pe lagoa dos gatos,LAGOA DOS GATOS,PE,2608701,24732,
pe lagoa grande,LAGOA GRANDE,PE,2608750,23183,
pe lajedo,LAJEDO,PE,2608800,24759,
pe limoeiro,LIMOEIRO,PE,2608909,24775,
pe macaparana,MACAPARANA,PE,2609006,24791,
pe machados,MACHADOS,PE,2609105,24813,
pe manari,MANARI,PE,2609154,23248,
pe maraial,MARAIAL,PE,2609204,24830,
pe mirandiba,MIRANDIBA,PE,2609303,24856,
pe moreilandia,MOREILÂNDIA,PE,2614303,25852,
pe moreno,MORENO,PE,2609402,24872,
pe nazare da mata,NAZARÉ DA MATA,PE,2609501,24899,
pe olinda,OLINDA,PE,2609600,24910,
pe orobo,OROBÓ,PE,2609709,24937,
pe oroco,OROCÓ,PE,2609808,24953,
pe ouricuri,OURICURI,PE,2609907,24970,
pe palmares,PALMARES,PE,2610004,24996,
pe palmeirina,PALMEIRINA,PE,2610103,25011,
pe panelas,PANELAS,PE,2610202,25038,
pe paranatama,PARANATAMA,PE,2610301,25054,
pe parnamirim,PARNAMIRIM,PE,2610400,25070,
pe passira,PASSIRA,PE,2610509,25097,
pe paudalho,PAUDALHO,PE,2610608,25119,
pe paulista,PAULISTA,PE,2610707,25135,
pe pedra,PEDRA,PE,2610806,25151,
pe pesqueira,PESQUEIRA,PE,2610905,25178,
pe petrolandia,PETROLÂNDIA,PE,2611002,25194,
pe petrolina,PETROLINA,PE,2611101,25216,
pe pocao,POÇÃO,PE,2611200,25232,
pe pombos,POMBOS,PE,2611309,25259,
pe primavera,PRIMAVERA,PE,2611408,25275,
pe quipapa,QUIPAPÁ,PE,2611507,25291,
pe quixaba,QUIXABA,PE,2611533,23000,
pe recife,RECIFE,PE,2611606,25313,
pe riacho das almas,RIACHO DAS ALMAS,PE,2611705,25330,
pe ribeirao,RIBEIRÃO,PE,2611804,25356,
pe rio formoso,RIO FORMOSO,PE,2611903,25372,
pe saire,SAIRÉ,PE,2612000,25399,
pe salgadinho,SALGADINHO,PE,2612109,25410,
pe salgueiro,SALGUEIRO,PE,2612208,25437,
pe saloa,SALOÁ,PE,2612307,25453,
pe sanharo,SANHARÓ,PE,2612406,25470,
pe santa cruz,SANTA CRUZ,PE,2612455,23108,
pe santa cruz da baixa verde,SANTA CRUZ DA BAIXA VERDE,PE,2612471,23043,
pe santa cruz do capibaribe,SANTA CRUZ DO CAPIBARIBE,PE,2612505,25496,
pe santa filomena,SANTA FILOMENA,PE,2612554,23329,
pe santa maria da boa vista,SANTA MARIA DA BOA VISTA,PE,2612604,25518,
pe santa maria do cambuca,SANTA MARIA DO CAMBUCÁ,PE,2612703,25534,
pe santa terezinha,SANTA TEREZINHA,PE,2612802,25550,
pe sao benedito do sul,SÃO BENEDITO DO SUL,PE,2612901,25577,
pe sao bento do una,SÃO BENTO DO UNA,PE,2613008,25593,
pe sao caitano,SÃO CAITANO,PE,2613107,25615,
pe sao joao,SÃO JOÃO,PE,2613206,25631,
pe sao joaquim do monte,SÃO JOAQUIM DO MONTE,PE,2613305,25658,
pe sao jose da coroa grande,SÃO JOSÉ DA COROA GRANDE,PE,2613404,25674,
pe sao jose do belmonte,SÃO JOSÉ DO BELMONTE,PE,2613503,25690,
pe sao jose do egito,SÃO JOSÉ DO EGITO,PE,2613602,25712,
pe sao lourenco da mata,SÃO LOURENÇO DA MATA,PE,2613701,25739,
pe sao vicente ferrer,SÃO VICENTE FERRÉR,PE,2613800,25755,
pe serra talhada,SERRA TALHADA,PE,2613909,25771,
pe serrita,SERRITA,PE,2614006,25798,
pe sertania,SERTÂNIA,PE,2614105,25810,
pe sirinhaem,SIRINHAÉM,PE,2614204,25836,
pe solidao,SOLIDÃO,PE,2614402,25879,
pe surubim,SURUBIM,PE,2614501,25895,
pe tabira,TABIRA,PE,2614600,25917,
pe tacaimbo,TACAIMBÓ,PE,2614709,25933,
pe tacaratu,TACARATU,PE,2614808,25950,
pe tamandare,TAMANDARÉ,PE,2614857,23280,
pe taquaritinga do norte,TAQUARITINGA DO NORTE,PE,2615003,25992,
pe terezinha,TEREZINHA,PE,2615102,26018,
pe terra nova,TERRA NOVA,PE,2615201,26034,
pe timbauba,TIMBAÚBA,PE,2615300,26050,
pe toritama,TORITAMA,PE,2615409,26077,
pe tracunhaem,TRACUNHAÉM,PE,2615508,26093,
pe trindade,TRINDADE,PE,2615607,26115,
pe triunfo,TRIUNFO,PE,2615706,26131,
pe tupanatinga,TUPANATINGA,PE,2615805,26158,
pe tuparetama,TUPARETAMA,PE,2615904,26174,
pe venturosa,VENTUROSA,PE,2616001,26190,
pe verdejante,VERDEJANTE,PE,2616100,26212,
pe vertente do lerio,VERTENTE DO LÉRIO,PE,2616183,23086,
pe vertentes,VERTENTES,PE,2616209,26239,
pe vicencia,VICÊNCIA,PE,2616308,26255,
pe vitoria de santo antao,VITÓRIA DE SANTO ANTÃO,PE,2616407,26271,
pe xexeu,XEXÉU,PE,2616506,23060,
pi acaua,ACAUÃ,PI,2200053,12327,
pi agricolandia,AGRICOLÂNDIA,PI,2200103,10014,
pi agua branca,ÁGUA BRANCA,PI,2200202,10030,
pi alagoinha do piaui,ALAGOINHA DO PIAUÍ,PI,2200251,12319,
pi alegrete do piaui,ALEGRETE DO PIAUÍ,PI,2200277,10022,
pi alto longa,ALTO LONGÁ,PI,2200301,10057,
pi altos,ALTOS,PI,2200400,10073,
pi alvorada do gurgueia,ALVORADA DO GURGUÉIA,PI,2200459,12084,
pi amarante,AMARANTE,PI,2200509,10090,
pi angical do piaui,ANGICAL DO PIAUÍ,PI,2200608,10111,
pi anisio de abreu,ANÍSIO DE ABREU,PI,2200707,10138,
pi antonio almeida,ANTÔNIO ALMEIDA,PI,2200806,10154,
pi aroazes,AROAZES,PI,2200905,10170,
pi aroeiras do itaim,AROEIRAS DO ITAIM,PI,2200954,12734,
pi arraial,ARRAIAL,PI,2201002,10197,
pi assuncao do piaui,ASSUNÇÃO DO PIAUÍ,PI,2201051,12106,
pi avelino lopes,AVELINO LOPES,PI,2201101,10219,
pi baixa grande do ribeiro,BAIXA GRANDE DO RIBEIRO,PI,2201150,10049,
pi barra dalcantara,BARRA D'ALCÂNTARA,PI,2201176,10600,
pi barras,BARRAS,PI,2201200,10235,
pi barreiras do piaui,BARREIRAS DO PIAUÍ,PI,2201309,10251,
pi barro duro,BARRO DURO,PI,2201408,10278,
pi batalha,BATALHA,PI,2201507,10294,
pi bela vista do piaui,BELA VISTA DO PIAUÍ,PI,2201556,10626,
pi belem do piaui,BELÉM DO PIAUÍ,PI,2201572,12335,
pi beneditinos,BENEDITINOS,PI,2201606,10316,
pi bertolinia,BERTOLÍNIA,PI,2201705,10332,
pi betania do piaui,BETÂNIA DO PIAUÍ,PI,2201739,12122,
pi boa hora,BOA HORA,PI,2201770,10669,
pi bocaina,BOCAINA,PI,2201804,10359,
pi bom jesus,BOM JESUS,PI,2201903,10375,
pi bom principio do piaui,BOM PRINCÍPIO DO PIAUÍ,PI,2201919,10065,
pi bonfim do piaui,BONFIM DO PIAUÍ,PI,2201929,10081,
pi boqueirao do piaui,BOQUEIRÃO DO PIAUÍ,PI,2201945,12149,
pi brasileira,BRASILEIRA,PI,2201960,10006,
pi brejo do piaui,BREJO DO PIAUÍ,PI,2201988,10642,
pi buriti dos lopes,BURITI DOS LOPES,PI,2202000,10391,
pi buriti dos montes,BURITI DOS MONTES,PI,2202026,10103,
pi cabeceiras do piaui,CABECEIRAS DO PIAUÍ,PI,2202059,10120,
pi cajazeiras do piaui,CAJAZEIRAS DO PIAUÍ,PI,2202075,12343,
pi cajueiro da praia,CAJUEIRO DA PRAIA,PI,2202083,12572,
pi caldeirao grande do piaui,CALDEIRÃO GRANDE DO PIAUÍ,PI,2202091,10146,
pi campinas do piaui,CAMPINAS DO PIAUÍ,PI,2202109,10413,
pi campo alegre do fidalgo,CAMPO ALEGRE DO FIDALGO,PI,2202117,12351,
pi campo grande do piaui,CAMPO GRANDE DO PIAUÍ,PI,2202133,10723,
pi campo largo do piaui,CAMPO LARGO DO PIAUÍ,PI,2202174,10740,
pi campo maior,CAMPO MAIOR,PI,2202208,10430,
pi canavieira,CANAVIEIRA,PI,2202251,10162,
pi canto do buriti,CANTO DO BURITI,PI,2202307,10456,
pi capitao de campos,CAPITÃO DE CAMPOS,PI,2202406,10472,
pi capitao gervasio oliveira,CAPITÃO GERVÁSIO OLIVEIRA,PI,2202455,10707,
pi caracol,CARACOL,PI,2202505,10499,
pi caraubas do piaui,CARAÚBAS DO PIAUÍ,PI,2202539,12670,
pi caridade do piaui,CARIDADE DO PIAUÍ,PI,2202554,12165,
pi castelo do piaui,CASTELO DO PIAUÍ,PI,2202604,10510,
pi caxingo,CAXINGÓ,PI,2202653,12688,
pi cocal,COCAL,PI,2202703,10537,
pi cocal de telha,COCAL DE TELHA,PI,2202711,12360,
pi cocal dos alves,COCAL DOS ALVES,PI,2202729,12696,
pi coivaras,COIVARAS,PI,2202737,10189,
pi colonia do gurgueia,COLÔNIA DO GURGUÉIA,PI,2202752,10200,
pi colonia do piaui,COLÔNIA DO PIAUÍ,PI,2202778,10227,
pi conceicao do caninde,CONCEIÇÃO DO CANINDÉ,PI,2202802,10553,
pi coronel jose dias,CORONEL JOSÉ DIAS,PI,2202851,10243,
pi corrente,CORRENTE,PI,2202901,10570,
pi cristalandia do piaui,CRISTALÂNDIA DO PIAUÍ,PI,2203008,10596,
pi cristino castro,CRISTINO CASTRO,PI,2203107,10618,
pi curimata,CURIMATÁ,PI,2203206,10634,
pi currais,CURRAIS,PI,2203230,10766,
pi curral novo do piaui,CURRAL NOVO DO PIAUÍ,PI,2203271,12181,
pi curralinhos,CURRALINHOS,PI,2203255,12580,
pi demerval lobao,DEMERVAL LOBÃO,PI,2203305,10650,
pi dirceu arcoverde,DIRCEU ARCOVERDE,PI,2203354,12297,
pi dom expedito lopes,DOM EXPEDITO LOPES,PI,2203404,10677,
pi dom inocencio,DOM INOCÊNCIO,PI,2203453,10685,
pi domingos mourao,DOMINGOS MOURÃO,PI,2203420,11410,
pi elesbao veloso,ELESBÃO VELOSO,PI,2203503,10693,
pi eliseu martins,ELISEU MARTINS,PI,2203602,10715,
pi esperantina,ESPERANTINA,PI,2203701,10731,
pi fartura do piaui,FARTURA DO PIAUÍ,PI,2203750,10260,
pi flores do piaui,FLORES DO PIAUÍ,PI,2203800,10758,
pi floresta do piaui,FLORESTA DO PIAUÍ,PI,2203859,12637,
pi floriano,FLORIANO,PI,2203909,10774,
pi francinopolis,FRANCINÓPOLIS,PI,2204006,10790,
pi francisco ayres,FRANCISCO AYRES,PI,2204105,10812,
pi francisco macedo,FRANCISCO MACEDO,PI,2204154,12378,
pi francisco santos,FRANCISCO SANTOS,PI,2204204,10839,
pi fronteiras,FRONTEIRAS,PI,2204303,10855,
pi geminiano,GEMINIANO,PI,2204352,10782,
pi gilbues,GILBUÉS,PI,2204402,10871,
pi guadalupe,GUADALUPE,PI,2204501,10898,
pi guaribas,GUARIBAS,PI,2204550,10804,
pi hugo napoleao,HUGO NAPOLEÃO,PI,2204600,10910,
pi ilha grande,ILHA GRANDE,PI,2204659,10820,
pi inhuma,INHUMA,PI,2204709,10936,
pi ipiranga do piaui,IPIRANGA DO PIAUÍ,PI,2204808,10952,
pi isaias coelho,ISAÍAS COELHO,PI,2204907,10979,
pi itainopolis,ITAINÓPOLIS,PI,2205003,10995,
pi itaueira,ITAUEIRA,PI,2205102,11010,
pi jacobina do piaui,JACOBINA DO PIAUÍ,PI,2205151,10286,
pi jaicos,JAICÓS,PI,2205201,11037,
pi jardim do mulato,JARDIM DO MULATO,PI,2205250,10308,
pi jatoba do piaui,JATOBÁ DO PIAUÍ,PI,2205276,12394,
pi jerumenha,JERUMENHA,PI,2205300,11053,
pi joao costa,JOÃO COSTA,PI,2205359,12386,
pi joaquim pires,JOAQUIM PIRES,PI,2205409,11070,
pi joca marques,JOCA MARQUES,PI,2205458,12408,
pi jose de freitas,JOSÉ DE FREITAS,PI,2205508,11096,
pi juazeiro do piaui,JUAZEIRO DO PIAUÍ,PI,2205516,12416,
pi julio borges,JÚLIO BORGES,PI,2205524,12203,
pi jurema,JUREMA,PI,2205532,10847,
pi lagoa alegre,LAGOA ALEGRE,PI,2205557,10324,
pi lagoa de sao francisco,LAGOA DE SÃO FRANCISCO,PI,2205573,10863,
pi lagoa do barro do piaui,LAGOA DO BARRO DO PIAUÍ,PI,2205565,10340,
pi lagoa do piaui,LAGOA DO PIAUÍ,PI,2205581,12424,
pi lagoa do sitio,LAGOA DO SÍTIO,PI,2205599,12220,
pi lagoinha do piaui,LAGOINHA DO PIAUÍ,PI,2205540,12432,
pi landri sales,LANDRI SALES,PI,2205607,11118,
pi luis correia,LUIS CORREIA,PI,2205706,11134,
pi luzilandia,LUZILÂNDIA,PI,2205805,11150,
pi madeiro,MADEIRO,PI,2205854,12440,
pi manoel emidio,MANOEL EMÍDIO,PI,2205904,11177,
pi marcolandia,MARCOLÂNDIA,PI,2205953,10367,
pi marcos parente,MARCOS PARENTE,PI,2206001,11193,
pi massape do piaui,MASSAPÊ DO PIAUÍ,PI,2206050,12467,
pi matias olimpio,MATIAS OLÍMPIO,PI,2206100,11215,
pi miguel alves,MIGUEL ALVES,PI,2206209,11231,
pi miguel leao,MIGUEL LEÃO,PI,2206308,11258,
pi milton brandao,MILTON BRANDÃO,PI,2206357,12246,
pi monsenhor gil,MONSENHOR GIL,PI,2206407,11274,
pi monsenhor hipolito,MONSENHOR HIPÓLITO,PI,2206506,11290,
pi monte alegre do piaui,MONTE ALEGRE DO PIAUÍ,PI,2206605,11312,
pi morro cabeca no tempo,MORRO CABEÇA NO TEMPO,PI,2206654,10880,
pi morro do chapeu do piaui,MORRO DO CHAPÉU DO PIAUÍ,PI,2206670,12459,
pi murici dos portelas,MURICI DOS PORTELAS,PI,2206696,12475,
pi nazare do piaui,NAZARÉ DO PIAUÍ,PI,2206704,11339,
pi nazaria,NAZÁRIA,PI,2206720,12726,
pi nossa senhora de nazare,NOSSA SENHORA DE NAZARÉ,PI,2206753,10928,
pi nossa senhora dos remedios,NOSSA SENHORA DOS REMÉDIOS,PI,2206803,11355,
pi nova santa rita,NOVA SANTA RITA,PI,2207959,10960,
pi novo oriente do piaui,NOVO ORIENTE DO PIAUÍ,PI,2206902,11371,
pi novo santo antonio,NOVO SANTO ANTÔNIO,PI,2206951,10901,
pi oeiras,OEIRAS,PI,2207009,11398,
pi olho dagua do piaui,OLHO D'ÁGUA DO PIAUÍ,PI,2207108,12483,
pi padre marcos,PADRE MARCOS,PI,2207207,11436,
pi paes landim,PAES LANDIM,PI,2207306,11452,
pi pajeu do piaui,PAJEÚ DO PIAUÍ,PI,2207355,12262,
pi palmeira do piaui,PALMEIRA DO PIAUÍ,PI,2207405,11479,
pi palmeirais,PALMEIRAIS,PI,2207504,11495,
pi paqueta,PAQUETÁ,PI,2207553,10944,
pi parnagua,PARNAGUÁ,PI,2207603,11517,
pi parnaiba,PARNAÍBA,PI,2207702,11533,
pi passagem franca do piaui,PASSAGEM FRANCA DO PIAUÍ,PI,2207751,10405,
pi patos do piaui,PATOS DO PIAUÍ,PI,2207777,10383,
pi pau darco do piaui,PAU D'ARCO DO PIAUÍ,PI,2207793,12718,
pi paulistana,PAULISTANA,PI,2207801,11550,
pi pavussu,PAVUSSU,PI,2207850,12289,
pi pedro ii,PEDRO II,PI,2207900,11576,
pi pedro laurentino,PEDRO LAURENTINO,PI,2207934,12491,
pi picos,PICOS,PI,2208007,11592,
pi pimenteiras,PIMENTEIRAS,PI,2208106,11614,
pi pio ix,PIO IX,PI,2208205,11630,
pi piracuruca,PIRACURUCA,PI,2208304,11657,
pi piripiri,PIRIPIRI,PI,2208403,11673,
pi porto,PORTO,PI,2208502,11690,
pi porto alegre do piaui,PORTO ALEGRE DO PIAUÍ,PI,2208551,12599,
pi prata do piaui,PRATA DO PIAUÍ,PI,2208601,11711,
pi queimada nova,QUEIMADA NOVA,PI,2208650,10421,
pi redencao do gurgueia,REDENÇÃO DO GURGUÉIA,PI,2208700,11738,
pi regeneracao,REGENERAÇÃO,PI,2208809,11754,
pi riacho frio,RIACHO FRIO,PI,2208858,12300,
pi ribeira do piaui,RIBEIRA DO PIAUÍ,PI,2208874,12602,
pi ribeiro goncalves,RIBEIRO GONÇALVES,PI,2208908,11770,
pi rio grande do piaui,RIO GRANDE DO PIAUÍ,PI,2209005,11797,
pi santa cruz do piaui,SANTA CRUZ DO PIAUÍ,PI,2209104,11819,
pi santa cruz dos milagres,SANTA CRUZ DOS MILAGRES,PI,2209153,10448,
pi santa filomena,SANTA FILOMENA,PI,2209203,11835,
pi santa luz,SANTA LUZ,PI,2209302,11851,
pi santa rosa do piaui,SANTA ROSA DO PIAUÍ,PI,2209377,10464,
pi santana do piaui,SANTANA DO PIAUÍ,PI,2209351,10480,
pi santo antonio de lisboa,SANTO ANTÔNIO DE LISBOA,PI,2209401,11878,
pi santo antonio dos milagres,SANTO ANTÔNIO DOS MILAGRES,PI,2209450,12653,
pi santo inacio do piaui,SANTO INÁCIO DO PIAUÍ,PI,2209500,11894,
pi sao braz do piaui,SÃO BRAZ DO PIAUÍ,PI,2209559,10502,
pi sao felix do piaui,SÃO FÉLIX DO PIAUÍ,PI,2209609,11916,
pi sao francisco de assis do piaui,SÃO FRANCISCO DE ASSIS DO PIAUÍ,PI,2209658,12505,
pi sao francisco do piaui,SÃO FRANCISCO DO PIAUÍ,PI,2209708,11932,
pi sao goncalo do gurgueia,SÃO GONÇALO DO GURGUÉIA,PI,2209757,12610,
pi sao goncalo do piaui,SÃO GONÇALO DO PIAUÍ,PI,2209807,11959,
pi sao joao da canabrava,SÃO JOÃO DA CANABRAVA,PI,2209856,11088,
pi sao joao da fronteira,SÃO JOÃO DA FRONTEIRA,PI,2209872,12009,
pi sao joao da serra,SÃO JOÃO DA SERRA,PI,2209906,11975,
pi sao joao da varjota,SÃO JOÃO DA VARJOTA,PI,2209955,12025,
pi sao joao do arraial,SÃO JOÃO DO ARRAIAL,PI,2209971,10987,
